23011,"20209","1","Master Builder Academy","","2013","Time Machine",,,,,,,,"No","No",0
23012,"20210","1","Master Builder Academy","","2013","World Architecture",,,,,,,,"No","No",0
23013,"20211","1","Master Builder Academy","","2013","Inventor's Lab",,,,,,,,"No","No",0
22850,"20214","1","Master Builder Academy","","2013","Adventure Designer",,638,,79.99,,,"http://www.1000steine.com/brickset/images/20214-1.jpg","No","No",0
22849,"20215","1","Master Builder Academy","","2013","Invention Designer",3,675,,79.99,,,"http://www.1000steine.com/brickset/images/20215-1.jpg","No","No",0
22845,"20216","1","Master Builder Academy","","2013","Robot & Micro Designer",,383,,49.99,,,"http://www.1000steine.com/brickset/images/20216-1.jpg","No","No",0
22844,"20217","1","Master Builder Academy","","2013","Action Designer",,576,,79.99,,,"http://www.1000steine.com/brickset/images/20217-1.jpg","No","No",0
9364,"21015","1","Architecture","Landmark Series","2013","The Leaning Tower of Pisa",,345,29.99,34.99,44.99,34.99,"http://www.1000steine.com/brickset/images/21015-1.jpg","No","No",0
10160,"21017","1","Architecture","Architect Series","2013","Imperial Hotel",,1188,99.99,129.99,159.99,119.99,"http://www.1000steine.com/brickset/images/21017-1.jpg","No","No",0
10297,"21018","1","Architecture","Landmark Series","2013","United Nations Headquarters",,597,49.99,49.99,59.99,49.99,"http://www.1000steine.com/brickset/images/21018-1.jpg","No","No",0
23113,"21021","1","Architecture","Landmark Series","2013","Marina Bay Sands",,602,,,,,"http://www.1000steine.com/brickset/images/21021-1.jpg","No","No",0
22843,"21050","1","Architecture","","2013","Architecture Studio",,1210,149.99,159.99,,149.99,"http://www.1000steine.com/brickset/images/21050-1.jpg","No","No",0
10240,"21103","1","Ideas","","2013","The DeLorean Time Machine",2,401,34.99,34.99,44.99,39.99,"http://www.1000steine.com/brickset/images/21103-1.jpg","No","No",0
22927,"21105","1","Minecraft","","2013","Minecraft Micro World: The Village",3,466,29.99,34.99,44.99,34.99,"http://www.1000steine.com/brickset/images/21105-1.jpg","No","No",0
22928,"21106","1","Minecraft","","2013","Minecraft Micro World: The Nether",3,469,29.99,34.99,44.99,34.99,"http://www.1000steine.com/brickset/images/21106-1.jpg","No","No",0
10329,"30066","1","Duplo","","2013","Circus",,3,,,,,"http://www.1000steine.com/brickset/images/30066-1.jpg","No","No",0
10311,"30106","1","Friends","","2013","Ice Cream Stand",1,34,,4.99,,,"http://www.1000steine.com/brickset/images/30106-1.jpg","No","No",0
10319,"30107","1","Friends","","2013","Birthday Party",1,39,,,,,"http://www.1000steine.com/brickset/images/30107-1.jpg","No","No",0
10320,"30108","1","Friends","","2013","Summer Picnic",1,33,,,,,"http://www.1000steine.com/brickset/images/30108-1.jpg","No","No",0
